Rk,Player,Pos,Age,PTS,AST,STL,BLK,Tm,G,GS,MP
149,Goran Dragić,PG,35,8,1.8,1,0.2,TOR,5,2,18
149,Goran Dragić,PG,35,7.3,4.8,0.9,0.2,BRK,16,6,25.5
150,Andre Drummond,C,28,7.9,1.8,1.1,0.9,TOT,73,36,19.7
150,Andre Drummond,C,28,6.1,2,1.1,0.9,PHI,49,12,18.4
150,Andre Drummond,C,28,11.8,1.4,0.9,1,BRK,24,24,22.3
151,Chris Duarte,SG,24,13.1,2.1,1,0.2,IND,55,39,28
152,David Duke Jr.,PG,22,4.7,0.8,0.6,0.3,BRK,22,7,15.5
153,Kris Dunn,PG,27,7.6,5.6,1.6,0.2,POR,14,3,24
154,Kevin Durant,PF,33,29.9,6.4,0.9,0.9,BRK,55,55,37.2
155,Jaime Echenique,C,24,0,0,0,0,WAS,1,0,3
156,Anthony Edwards,SG,20,21.3,3.8,1.5,0.6,MIN,72,72,34.3
157,Carsen Edwards,SG,23,5.8,3.5,0.5,0,DET,4,0,19.8
158,Kessler Edwards,SF,21,5.9,0.6,0.6,0.5,BRK,48,23,20.6
159,Rob Edwards,SG,25,1.5,0,0,0,OKC,2,0,5.5
160,CJ Elleby,SF,21,5.8,1.5,0.6,0.3,POR,58,28,20.2
161,Wayne Ellington,SG,34,6.7,0.7,0.5,0.1,LAL,43,9,18.8
162,Joel Embiid,C,27,30.6,4.2,1.1,1.5,PHI,68,68,33.8
163,James Ennis III,SF,31,4.1,0.4,0.3,0.3,TOT,7,0,8
163,James Ennis III,SF,31,2.5,0,0.5,0.5,BRK,2,0,7
163,James Ennis III,SF,31,10,0,0.5,0.5,LAC,2,0,14
163,James Ennis III,SF,31,1.3,1,0,0,DEN,3,0,4.7
164,Drew Eubanks,C,24,7.7,1.2,0.4,0.6,TOT,71,31,17.5
164,Drew Eubanks,C,24,4.7,1,0.3,0.6,SAS,49,9,12.1
164,Drew Eubanks,C,24,14.5,1.6,0.8,0.5,POR,22,22,29.5
165,Tacko Fall,C,26,1.1,0.2,0,0.5,CLE,11,1,5.4
166,Derrick Favors,C,30,5.3,0.6,0.4,0.3,OKC,39,18,16.7
167,Bruno Fernando,C,23,2.9,0.2,0,0.4,TOT,30,0,5.1
167,Bruno Fernando,C,23,1,0.2,0,0.2,BOS,20,0,2.9
167,Bruno Fernando,C,23,6.9,0.3,0.1,0.8,HOU,10,0,9.4
168,Dorian Finney-Smith,PF,28,11,1.9,1.1,0.5,DAL,80,80,33.1
169,Malik Fitts,PF,24,1.4,0.3,0,0,TOT,15,0,4.2
169,Malik Fitts,PF,24,0.9,0,0,0,UTA,7,0,5
169,Malik Fitts,PF,24,1.9,0.6,0,0,BOS,8,0,3.5
170,Malachi Flynn,PG,23,4.3,1.6,0.5,0.1,TOR,44,5,12.2
171,Bryn Forbes,SG,28,8.8,1,0.3,0.1,TOT,75,2,17.1
171,Bryn Forbes,SG,28,9.1,1,0.4,0.1,SAS,40,1,16.9
171,Bryn Forbes,SG,28,8.6,1,0.2,0.1,DEN,35,1,17.4
172,Aleem Ford,SF,24,2.8,0.4,0.2,0,ORL,5,0,14.8
173,Trent Forrest,PG,23,3.3,1.8,0.5,0.1,UTA,60,6,12.8
174,Evan Fournier,SG,29,14.1,2.1,1,0.3,NYK,80,80,29.5
175,De'Aaron Fox,PG,24,23.2,5.6,1.2,0.4,SAC,59,59,35.3
176,Melvin Frazier,SG,25,10.7,0.3,0.3,0,OKC,3,0,40
177,Tim Frazier,PG,31,3.3,2.8,0.3,0.1,TOT,12,3,17.3
177,Tim Frazier,PG,31,3.7,3.3,0.3,0.1,ORL,10,3,20
177,Tim Frazier,PG,31,1,0.5,0,0,CLE,2,0,4
178,Enes Freedom,C,29,3.7,0.2,0.1,0.4,BOS,35,1,11.7
179,Markelle Fultz,PG,23,10.8,5.5,1.1,0.3,ORL,18,3,20
180,Wenyen Gabriel,PF,24,5.4,0.5,0.2,0.4,TOT,26,5,13.8
180,Wenyen Gabriel,PF,24,0,0,0,0,BRK,1,0,1
180,Wenyen Gabriel,PF,24,2.3,0.3,0.2,0.3,LAC,6,0,7.7
180,Wenyen Gabriel,PF,24,6.7,0.6,0.2,0.5,LAL,19,5,16.4
181,Daniel Gafford,C,23,9.4,0.9,0.4,1.4,WAS,72,53,20.1
182,Danilo Gallinari,PF,33,11.7,1.5,0.4,0.2,ATL,66,18,25.3
183,Langston Galloway,SG,30,2,1.7,0.1,0,TOT,7,0,15.3
183,Langston Galloway,SG,30,3,1.3,0,0,BRK,4,0,14.5
183,Langston Galloway,SG,30,0.7,2.3,0.3,0,MIL,3,0,16.3
184,Darius Garland,PG,22,21.7,8.6,1.3,0.1,CLE,68,68,35.7
185,Marcus Garrett,SG,23,1.1,0.6,0.4,0.3,MIA,12,0,10.7
186,Usman Garuba,PF,19,2,0.7,0.4,0.5,HOU,24,2,10
187,Luka Garza,C,23,5.8,0.6,0.3,0.2,DET,32,5,12.2
188,Rudy Gay,PF,35,8.1,1,0.5,0.3,UTA,55,1,18.9
189,Paul George,SF,31,24.3,5.7,2.2,0.4,LAC,31,31,34.7
190,Taj Gibson,C,36,4.4,0.6,0.4,0.8,NYK,52,4,18.2
